,Company Name,Rating,Reviews,Company Type,HQ,Company Age,Employee Count
259,G4S,4.2,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 96 more",26 years old,1 Lakh+ Employees (India)
260,Fiserv,3.9,(1.5k Reviews),Private,"Brookfield,Wisconsin + 26 more",51 years old,501-1k Employees (India)
261,Aakash Institute,3.6,(1.7k Reviews),Private,"New Delhi,Delhi + 132 more",34 years old,1k-5k Employees (India)
262,Life Insurance C...,4.3,(1.4k Reviews),Private,Mumbai + 336 more,66 years old,1 Lakh+ Employees (India)
263,Utkarsh Small Fi...,4.0,(1.4k Reviews),Public,"Varanasi,Uttar Pradesh + 197 more",13 years old,1k-5k Employees (India)
264,JMC Projects,4.3,(1.4k Reviews),Public,"Mumbai,Maharashtra + 87 more",40 years old,1k-5k Employees (India)
265,Tata AIG General...,4.1,(1.4k Reviews),Private,"Mumbai,Maharashtra + 174 more",22 years old,5k-10k Employees (India)
266,Mankind Pharma,4.2,(1.6k Reviews),Private,"New Delhi,Delhi + 136 more",27 years old,5k-10k Employees (India)
267,Reliance Digital,4.3,(1.4k Reviews),Private,"Mumbai,Maharashtra + 209 more",15 years old,1k-5k Employees (India)
268,Delhi Public Sch...,3.9,(1.4k Reviews),Public,"Greater Noida,Uttar Pradesh + 201 more",24 years old,1k-5k Employees (India)
269,AFCONS Infrastru...,4.5,(1.4k Reviews),Partnership,"Mumbai,Maharashtra + 70 more",63 years old,5k-10k Employees (India)
270,PolicyBazaar,3.7,(1.4k Reviews),Public,"Gurgaon,Haryana + 27 more",14 years old,5k-10k Employees (India)
271,Voltas,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 131 more",68 years old,5k-10k Employees (India)
272,Aarti Industries,4.2,(1.4k Reviews),Public,"Mumbai,Maharashtra + 31 more",47 years old,1k-5k Employees (India)
273,Cogent E Service...,3.4,(1.4k Reviews),Private,"Noida,Uttar Pradesh + 27 more",18 years old,10k-50k Employees (India)
274,IndiGo,3.5,(1.4k Reviews),Private,"Boston,Massachusetts + 69 more",17 years old,10k-50k Employees (India)
275,Sapient Corporat...,3.9,(1.6k Reviews),Private,"New York,New York + 15 more",32 years old,5k-10k Employees (India)
276,Raymond,4.1,(1.6k Reviews),Public,New York + 102 more,97 years old,1k-5k Employees (India)
277,ADP Solutions,4.2,(1.4k Reviews),Public,"Chennai,Tamil Nadu + 10 more",23 years old,1k-5k Employees (India)
278,I Process Servic...,4.0,(1.4k Reviews),Private,"Mumbai,Maharashtra + 192 more",17 years old,1k-5k Employees (India)
279,R1 RCM,4.0,(1.4k Reviews),Private,"Chicago,Illinois + 13 more",19 years old,1k-5k Employees (India)
280,NIIT Technologie...,3.5,(1.4k Reviews),Public,"Noida,Uttar Pradesh + 77 more",18 years old,5k-10k Employees (India)
281,DHFL,4.6,(1.3k Reviews),Public,"Mumbai,Maharashtra + 191 more",38 years old,1k-5k Employees (India)
282,Aditya Birla Gro...,4.2,(13.2k Reviews),"Mumbai,Maharashtra + 182 more",165 years old,1 Lakh+ Employees (India),
283,BHEL,4.3,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 84 more",58 years old,10k-50k Employees (India)
284,PVR Cinemas,4.3,(1.3k Reviews),Public,Gurgaon + 89 more,25 years old,1k-5k Employees (India)
285,Exide Industries,3.8,(2.7k Reviews),Public,"Kolkata,West Bengal + 158 more",75 years old,1k-5k Employees (India)
286,Birla Sun Life I...,4.3,(1.3k Reviews),Private,"Mumbai,Maharashtra + 268 more",22 years old,10k-50k Employees (India)
287,Persistent Syste...,4.2,(1.3k Reviews),Public,"Pune,Maharashtra + 6 more",32 years old,10k-50k Employees (India)
288,ACT Fibernet,4.0,(1.3k Reviews),Private,"Daegu,Daegu + 32 more",22 years old,5k-10k Employees (India)
289,Access Healthcar...,4.0,(1.3k Reviews),Private,"Dallas,Texas + 15 more",11 years old,1k-5k Employees (India)
290,R.R. Donnelley,4.2,(1.3k Reviews),Private,"Chicago,Illinois + 9 more",158 years old,5k-10k Employees (India)
291,Poonawalla Finco...,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 241 more",34 years old,5k-10k Employees (India)
292,Micro Labs,3.8,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 94 more",49 years old,5k-10k Employees (India)
293,United Phosphoru...,4.3,(1.3k Reviews),Public,"Mumbai,Maharashtra + 108 more",53 years old,1k-5k Employees (India)
294,Ajanta Pharma,4.0,(1.3k Reviews),Public,"Mumbai,Maharashtra + 82 more",49 years old,1k-5k Employees (India)
295,Walmart,4.2,(11.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 67 more",13 years old,5k-10k Employees (India)
296,Zensar Technolog...,3.8,(1.3k Reviews),Public,"Pune,Maharashtra + 17 more",31 years old,10k-50k Employees (India)
297,The Himalaya Dru...,4.2,(1.3k Reviews),Private,"San Francisco,California + 145 more",92 years old,1k-5k Employees (India)
298,Renault-Nissan,4.1,(1.3k Reviews),Private,"Chennai,Tamil Nadu + 60 more",12 years old,5k-10k Employees (India)
299,Cholamandalam MS...,4.0,(1.3k Reviews),JV,"Chennai,Tamil Nadu + 265 more",21 years old,50k-1 Lakh Employees (India)
